"concentration_regime","hhi","hours_coordination","mkr_movilizado","n_lock_events","n_voters","participation_tier","spell_address","top1_share_pct","total_mkr","ts_lift","ts_propose","kappa_coord","whale_present","micro_spell","year","post_sky","log_kappa","log_mkr","log_hours"
"high_concentration",7531.56978577376,12.007778,333.030019596895,2,2,"medium","0xb3ddf9d30b6554f9bd8211eb8002c7f8a5d63c3a",85.5778708312749,333.030019596895,2020-09-28 22:45:38,2020-09-28 10:45:10,3998.95054265516,1,0,2020,0,8.29403727568938,5.81123086797044,2.56554748623916
"high_concentration",10000,22.266389,24.8,1,1,"small","0xa3386693bf448ff68ddd466f15182c6894cac7c2",100,24.8,2020-09-30 14:00:14,2020-09-29 15:44:15,552.2064472,1,0,2020,0,6.31573125409724,3.25037449192757,3.14700978693158
"high_concentration",8961.13738923143,56.104722,90.9162273942355,4,4,"small","0xd966a044fb523c5a4dc1b9c7c1821a7387633c43",94.5925743564815,90.9162273942355,2020-10-19 14:00:52,2020-10-17 05:54:35,5100.82966324237,1,0,2020,0,8.53735451187284,4.52087759042491,4.04488681026552
"moderate_concentration",5627.19640810575,12.0025,19087.0548316039,3,3,"large","0x5916216b4dc1299701d0b180c9976f53a2572a44",68.1089886034955,19087.0548316039,2020-10-27 05:37:26,2020-10-26 17:37:17,229092.375616325,1,0,2020,0,12.3418849532105,9.85681801690293,2.56514164666509
"moderate_concentration",6046.23645630983,87.678611,13.6621460788691,9,9,"small","0x9d2a74dd61632da23187cc60d8f3f7470270f7f1",76.5619101099953,13.6621460788691,2020-11-12 14:00:10,2020-11-08 22:19:27,1197.87799147434,1,0,2020,0,7.08914139127957,2.68526907584473,4.48501872156726
"high_concentration",9918.29212095524,132.678611,12137.2315901959,9,7,"large","0xb2ea7eac188aa5c9e79e5ad7d113143453c5ba30",99.5903220585534,12137.2315901959,2020-11-23 14:00:12,2020-11-18 01:19:29,1610351.02877251,1,0,2020,0,14.2919633644714,9.40411538597947,4.89543849374842
"high_concentration",8047.53298691867,72.011389,21052.4280756501,9,7,"large","0xeb0aa803943b571ad8b587b6fa88aeed92fc8722",89.0397152101722,21052.4280756501,2020-11-24 14:27:07,2020-11-21 14:26:26,1516014.58755016,1,0,2020,0,14.2315961271568,9.95481867980139,4.29061544267815
"high_concentration",9678.51180109331,72.023333,1280.20366181143,2,2,"medium","0x3c1f051c43b31ea308b916c6c2281aa3004a7afa",98.365854696745,1280.20366181143,2020-11-27 06:57:35,2020-11-24 06:56:11,92204.5346424638,1,0,2020,0,11.4317754364032,7.15555527584162,4.29077902021455
"high_concentration",10000,73.690833,101.211001883591,1,1,"medium","0x7bbc55e3a4786c8ce72df1cbacb637b803726a66",100,101.211001883591,2020-12-03 13:24:55,2020-11-30 11:43:28,7458.32303756638,1,0,2020,0,8.91721994344564,4.62703932250008,4.31335736707154
"high_concentration",9990.02785962728,91.011389,4760.80576959315,2,2,"medium","0x7f079caeec5fbd066bb7f97cdc49ea78cfdf379e",99.9501144124179,4760.80576959315,2020-12-07 14:01:15,2020-12-03 19:00:34,433287.545849886,1,0,2020,0,12.9791591726911,8.46838223864528,4.52191236286552
"moderate_concentration",5331.99409059308,50.915556,15.6257788015593,4,4,"small","0x7a32520918cb78d70b4934afc7d6e55ffde7531b",68.278128577969,15.6257788015593,2020-12-14 14:00:17,2020-12-12 11:05:21,795.595215614405,1,0,2020,0,6.68034666472198,2.81095443065129,3.94961847551219
"moderate_concentration",4828.24677342569,48.011667,63230.8685019907,7,7,"large","0xffaef7a3015005644adfd767d6bbde13d749785c",57.0524582050136,63230.8685019907,2020-12-21 15:10:19,2020-12-19 15:09:37,3035819.40263837,0,0,2020,0,14.9259922598317,11.0545637014936,3.89205837180965
"high_concentration",9052.33945904507,102.674444,525.874973260848,3,3,"medium","0x1bce152376d4fa26cf50cd5cec0436a48ce13d56",95.079647955187,525.874973260848,2020-12-28 14:01:07,2020-12-24 07:20:39,53993.9204930724,0,0,2020,0,10.8966452561789,6.26696327800565,4.64125564320512
"high_concentration",9098.6709346872,48.006111,30880.4800628835,6,5,"large","0x49114e6dfd52f9038cc87515e1fa55803e262e43",95.3310277389604,30880.4800628835,2021-01-07 07:36:01,2021-01-05 07:35:39,1482451.75363207,0,0,2021,0,14.209208539958,10.3379119324877,3.89194500462016
